sale_id,catalogue,category,elevation,segment,grade,tier,price_mid_lkr,region,text_crop_change,text_keywords,temperature_2m_mean_mean,precipitation_sum_total_lag1,sunshine_duration_total_lag1,temperature_2m_mean_mean_lag1,precipitation_sum_total_lag2,sunshine_duration_total_lag2,temperature_2m_mean_mean_lag2,precipitation_sum_total_lag3,sunshine_duration_total_lag3,temperature_2m_mean_mean_lag3,sale_number,sale_year,sale_date_raw,avg_weather_severity,fx_usd
SALE_2023_42,low_grown,fbopf_tippy,low_grown,unknown,fbopf_tippy,below_best,1450.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,fbopf_tippy,low_grown,unknown,fbopf_tippy,others,1025.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,op,low_grown,unknown,op,select_best,1650.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,op,low_grown,unknown,op,best,1505.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,op,low_grown,unknown,op,below_best,1350.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,op,low_grown,unknown,op,others,1100.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,op1,low_grown,unknown,op1,select_best,3625.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,op1,low_grown,unknown,op1,best,2675.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,op1,low_grown,unknown,op1,below_best,1650.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,op1,low_grown,unknown,op1,others,1075.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,opa,low_grown,unknown,opa,select_best,1770.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,opa,low_grown,unknown,opa,best,1260.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,opa,low_grown,unknown,opa,below_best,1140.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,opa,low_grown,unknown,opa,others,950.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,pek1,low_grown,unknown,pek1,select_best,2200.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,pek1,low_grown,unknown,pek1,best,1675.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,pek1,low_grown,unknown,pek1,below_best,1375.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,pek1,low_grown,unknown,pek1,others,1050.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,pekoe,low_grown,unknown,pekoe,select_best,2025.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,pekoe,low_grown,unknown,pekoe,best,1500.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,pekoe,low_grown,unknown,pekoe,below_best,1265.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,pekoe,low_grown,unknown,pekoe,others,975.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,dust,primary_ctc_better,low,unknown,unknown,unknown,1230.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,dust,primary_ctc_better,high,unknown,unknown,unknown,1130.0,nuwara_eliya,unknown,showers,15.66,131.0,162024.06,16.03,66.9,174172.14,16.71,48.1,185720.16,16.3,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,dust,primary_ctc_better,medium,unknown,unknown,unknown,1070.0,uva_udapussellawa,unknown,showers|misty|mist|dull|heavy,20.23,117.4,156333.91,20.39,86.0,191141.8,21.09,61.1,216967.49,20.89,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,dust,primary_ctc_other,low,unknown,unknown,unknown,925.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,dust,primary_ctc_other,high,unknown,unknown,unknown,915.0,nuwara_eliya,unknown,showers,15.66,131.0,162024.06,16.03,66.9,174172.14,16.71,48.1,185720.16,16.3,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,dust,primary_ctc_other,medium,unknown,unknown,unknown,855.0,uva_udapussellawa,unknown,showers|misty|mist|dull|heavy,20.23,117.4,156333.91,20.39,86.0,191141.8,21.09,61.1,216967.49,20.89,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,dust,primary_orth_below_best,low,unknown,unknown,unknown,805.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,dust,primary_orth_below_best,high,unknown,unknown,unknown,990.0,nuwara_eliya,unknown,showers,15.66,131.0,162024.06,16.03,66.9,174172.14,16.71,48.1,185720.16,16.3,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,dust,primary_orth_below_best,medium,unknown,unknown,unknown,775.0,uva_udapussellawa,unknown,showers|misty|mist|dull|heavy,20.23,117.4,156333.91,20.39,86.0,191141.8,21.09,61.1,216967.49,20.89,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,dust,primary_orth_better,low,unknown,unknown,unknown,895.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,dust,primary_orth_better,high,unknown,unknown,unknown,1400.0,nuwara_eliya,unknown,showers,15.66,131.0,162024.06,16.03,66.9,174172.14,16.71,48.1,185720.16,16.3,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,dust,primary_orth_better,medium,unknown,unknown,unknown,910.0,uva_udapussellawa,unknown,showers|misty|mist|dull|heavy,20.23,117.4,156333.91,20.39,86.0,191141.8,21.09,61.1,216967.49,20.89,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,dust,primary_orth_other,low,unknown,unknown,unknown,720.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,dust,primary_orth_other,high,unknown,unknown,unknown,790.0,nuwara_eliya,unknown,showers,15.66,131.0,162024.06,16.03,66.9,174172.14,16.71,48.1,185720.16,16.3,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,dust,primary_orth_other,medium,unknown,unknown,unknown,720.0,uva_udapussellawa,unknown,showers|misty|mist|dull|heavy,20.23,117.4,156333.91,20.39,86.0,191141.8,21.09,61.1,216967.49,20.89,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,dust,secondary_better,low,unknown,unknown,unknown,1050.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,dust,secondary_better,high,unknown,unknown,unknown,990.0,nuwara_eliya,unknown,showers,15.66,131.0,162024.06,16.03,66.9,174172.14,16.71,48.1,185720.16,16.3,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,dust,secondary_better,medium,unknown,unknown,unknown,820.0,uva_udapussellawa,unknown,showers|misty|mist|dull|heavy,20.23,117.4,156333.91,20.39,86.0,191141.8,21.09,61.1,216967.49,20.89,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,dust,secondary_other,low,unknown,unknown,unknown,755.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,dust,secondary_other,high,unknown,unknown,unknown,730.0,nuwara_eliya,unknown,showers,15.66,131.0,162024.06,16.03,66.9,174172.14,16.71,48.1,185720.16,16.3,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,dust,secondary_other,medium,unknown,unknown,unknown,700.0,uva_udapussellawa,unknown,showers|misty|mist|dull|heavy,20.23,117.4,156333.91,20.39,86.0,191141.8,21.09,61.1,216967.49,20.89,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_43,high_grown,below_best_western,high_grown,below_best_western,bop,unknown,990.0,unknown,unknown,unknown,20.03,50.6,239239.7,25.0,53.6,233157.27,25.0,53.4,231594.75,25.03,43,2023.0,24TH/25TH October 2023,3.0,322.17
SALE_2023_43,high_grown,below_best_western,high_grown,below_best_western,bopf,unknown,1040.0,unknown,unknown,unknown,20.03,50.6,239239.7,25.0,53.6,233157.27,25.0,53.4,231594.75,25.03,43,2023.0,24TH/25TH October 2023,3.0,322.17
SALE_2023_43,high_grown,below_best_western,high_grown,below_best_western,pekoe_fbop,unknown,1070.0,unknown,unknown,unknown,20.03,50.6,239239.7,25.0,53.6,233157.27,25.0,53.4,231594.75,25.03,43,2023.0,24TH/25TH October 2023,3.0,322.17
SALE_2023_43,high_grown,below_best_western,high_grown,below_best_western,op,unknown,950.0,unknown,unknown,unknown,20.03,50.6,239239.7,25.0,53.6,233157.27,25.0,53.4,231594.75,25.03,43,2023.0,24TH/25TH October 2023,3.0,322.17
SALE_2023_43,high_grown,best_uva,high_grown,best_uva,bop,unknown,990.0,unknown,unknown,unknown,21.39,35.2,239239.7,21.39,35.2,239239.7,21.4,37.0,247642.71,22.19,43,2023.0,24TH/25TH October 2023,3.0,322.17
SALE_2023_43,high_grown,best_uva,high_grown,best_uva,bopf,unknown,960.0,unknown,unknown,unknown,21.39,35.2,239239.7,21.39,35.2,239239.7,21.4,37.0,247642.71,22.19,43,2023.0,24TH/25TH October 2023,3.0,322.17
SALE_2023_43,high_grown,best_uva,high_grown,best_uva,pekoe_fbop,unknown,1540.0,unknown,unknown,unknown,21.39,35.2,239239.7,21.39,35.2,239239.7,21.4,37.0,247642.71,22.19,43,2023.0,24TH/25TH October 2023,3.0,322.17
SALE_2023_43,high_grown,best_uva,high_grown,best_uva,op,unknown,1090.0,unknown,unknown,unknown,21.39,35.2,239239.7,21.39,35.2,239239.7,21.4,37.0,247642.71,22.19,43,2023.0,24TH/25TH October 2023,3.0,322.17
SALE_2023_43,high_grown,best_western,high_grown,best_western,bop,unknown,1290.0,unknown,unknown,unknown,20.03,50.6,239239.7,25.0,53.6,233157.27,25.0,53.4,231594.75,25.03,43,2023.0,24TH/25TH October 2023,3.0,322.17
