sale_id,auction_date,region,region_label,lat,lon,pdf_source,text_condition_score,text_crop_change,text_has_rain,text_has_mist,text_has_bright,text_has_thunder,text_keywords,text_raw_summary,temperature_2m_max_mean,temperature_2m_max_max,temperature_2m_max_min,temperature_2m_min_mean,temperature_2m_min_max,temperature_2m_min_min,temperature_2m_mean_mean,temperature_2m_mean_max,temperature_2m_mean_min,precipitation_sum_total,precipitation_sum_max_day,rain_sum_total,rain_sum_max_day,windspeed_10m_max_mean,windspeed_10m_max_max,windspeed_10m_max_min,sunshine_duration_total,sunshine_duration_max_day,et0_fao_evapotranspiration_total,et0_fao_evapotranspiration_max_day,relative_humidity_2m_max_mean,relative_humidity_2m_max_max,relative_humidity_2m_max_min,relative_humidity_2m_min_mean,relative_humidity_2m_min_max,relative_humidity_2m_min_min,fetch_start,fetch_end,precipitation_sum_total_lag1,precipitation_sum_total_lag2,precipitation_sum_total_lag3,rain_sum_total_lag1,rain_sum_total_lag2,rain_sum_total_lag3,temperature_2m_mean_mean_lag1,temperature_2m_mean_mean_lag2,temperature_2m_mean_mean_lag3,sunshine_duration_total_lag1,sunshine_duration_total_lag2,sunshine_duration_total_lag3,relative_humidity_2m_max_max_lag1,relative_humidity_2m_max_max_lag2,relative_humidity_2m_max_max_lag3,text_condition_score_lag1,text_condition_score_lag2,text_condition_score_lag3
SALE_42_2024,2024-10-22,uva_udapussellawa,Uva / Uda Pussellawa,6.87,81.06,Sale of 22 & 23 October 2024.pdf,-1,unknown,1,0,0,0,showers,"Uva/Udapussellawa Regions
Gloomy weather and intermittent showers were reported in the
Uva and Uda Pussellawa regions throughout the week.",25.13,26.9,23.1,17.44,18.9,15.9,21.23,22.2,20.5,29.7,11.9,29.7,11.9,5.81,6.7,4.1,223981.57,41662.33,25.42,4.54,97.14,100.0,93.0,68.71,82.0,54.0,2024-10-15,2024-10-21,139.2,140.3,56.5,139.2,140.3,56.5,20.23,20.69,20.53,174660.08,70413.52,239239.7,100.0,100.0,99.0,-4.0,-1.0,0.0
SALE_42_2025,2025-10-28,uva_udapussellawa,Uva / Uda Pussellawa,6.87,81.06,Sale of 28 & 29 October 2025.pdf,0,unknown,1,0,1,0,bright|showers,"Uva/Udapussellawa Regions
Bright mornings and evening showers were reported in the Uva
and Uda Pussellawa regions throughout the week. According
to the Department of Meteorology, showers are expected in
both regions in the week ahead.",25.51,27.5,22.3,17.7,19.0,16.1,21.19,22.0,20.1,15.8,13.0,15.8,13.0,9.19,15.6,5.9,183723.35,38727.76,22.32,4.91,93.86,100.0,79.0,60.71,87.0,44.0,2025-10-21,2025-10-27,29.7,139.2,140.3,29.7,139.2,140.3,21.23,20.23,20.69,223981.57,174660.08,70413.52,100.0,100.0,100.0,-1.0,-4.0,-1.0
SALE_43_2024,2024-10-29,uva_udapussellawa,Uva / Uda Pussellawa,6.87,81.06,Sale of 29 & 30 October 2024.pdf,-2,unknown,1,0,0,0,showers|rain,"Uva/Udapussellawa Regions
The Uva and Uda Pussellawa regions reported rain throughout
the week. Showers are expected in the Uva Region in the
week ahead according to the Department of Meteorology.",24.46,25.4,22.6,18.01,18.6,16.8,20.91,21.4,20.4,63.5,16.2,63.5,16.2,6.4,9.4,4.9,187952.83,38543.91,21.25,3.78,97.86,100.0,96.0,76.57,85.0,71.0,2024-10-22,2024-10-28,15.8,29.7,139.2,15.8,29.7,139.2,21.19,21.23,20.23,183723.35,223981.57,174660.08,100.0,100.0,100.0,0.0,-1.0,-4.0
SALE_43_2025,2025-11-03,uva_udapussellawa,Uva / Uda Pussellawa,6.87,81.06,Sale of 3 & 4 November 2025.pdf,0,unknown,1,0,1,0,sunny|showers,"Uva/Udapussellawa Regions
The Uva and Uda Pussellawa regions reported sunny weather
throughout the week. Showers are expected in both regions in the
week ahead according to the Department of Meteorology.",27.47,28.4,26.2,16.31,18.3,15.2,21.57,22.9,20.7,5.6,3.0,5.6,3.0,8.79,15.6,5.1,285502.75,41632.35,31.27,4.91,90.29,99.0,76.0,47.71,57.0,42.0,2025-10-27,2025-11-02,63.5,15.8,29.7,63.5,15.8,29.7,20.91,21.19,21.23,187952.83,183723.35,223981.57,100.0,100.0,100.0,-2.0,0.0,-1.0
SALE_44_2024,2024-11-05,uva_udapussellawa,Uva / Uda Pussellawa,6.87,81.06,Sale of 5 & 6 November 2024.pdf,-2,unknown,1,0,0,0,showers|rain,"Uva/Udapussellawa Regions
Rain was reported in the Uva and Uda Pussellawa regions
throughout the week. The Department of Meteorology expects
showers in the Uva Region in the week ahead.",24.27,25.1,22.9,17.59,18.6,16.8,20.39,21.0,19.9,151.9,37.2,151.9,37.2,7.1,9.3,5.8,168006.49,30652.3,19.29,3.33,97.0,98.0,96.0,76.14,81.0,73.0,2024-10-29,2024-11-04,5.6,63.5,15.8,5.6,63.5,15.8,21.57,20.91,21.19,285502.75,187952.83,183723.35,99.0,100.0,100.0,0.0,-2.0,0.0
SALE_44_2025,2025-11-11,uva_udapussellawa,Uva / Uda Pussellawa,6.87,81.06,Sale of 11 & 12 November 2025.pdf,0,unknown,1,0,1,0,sunny|showers,"Uva/Udapussellawa Regions
Sunny weather was reported in the Uva and Uda Pussellawa
regions throughout the week. According to the Department of
Meteorology, showers are expected in both regions in the week
ahead.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.9,5.6,63.5,151.9,5.6,63.5,20.39,21.57,20.91,168006.49,285502.75,187952.83,98.0,99.0,100.0,-2.0,0.0,-2.0
SALE_45_2024,2024-11-11,uva_udapussellawa,Uva / Uda Pussellawa,6.87,81.06,Sale of 11 & 12 November 2024.pdf,-2,unknown,1,0,0,0,showers|rain,"Uva/Udapussellawa Regions
Both regions reported rain throughout the week. According to
the Department of Meteorology, showers are expected in the
Uva Region in the week ahead.",24.5,25.4,23.9,17.17,18.8,15.6,20.41,20.8,20.0,62.6,29.0,62.6,29.0,10.04,16.2,6.2,219815.16,41283.53,24.02,4.48,97.71,100.0,96.0,69.43,82.0,54.0,2024-11-04,2024-11-10,,151.9,5.6,,151.9,5.6,,20.39,21.57,,168006.49,285502.75,,98.0,99.0,0.0,-2.0,0.0
SALE_45_2025,2025-11-19,uva_udapussellawa,Uva / Uda Pussellawa,6.87,81.06,Sale of 19 & 20 November 2025.pdf,-2,unknown,1,1,1,0,sunny|showers|misty|mist,"Uva/Udapussellawa Regions
The Uva and Uda Pussellawa regions reported sunny weather
and occasional showers throughout the week. Misty conditions
are expected in both regions in the week ahead according to
the Department of Meteorology.",24.01,25.4,22.9,17.41,18.6,16.7,19.87,20.1,19.3,56.0,15.9,56.0,15.9,9.77,12.6,7.9,169855.57,33263.02,18.62,3.17,99.86,100.0,99.0,75.0,85.0,68.0,2025-11-12,2025-11-18,62.6,,151.9,62.6,,151.9,20.41,,20.39,219815.16,,168006.49,100.0,,98.0,-2.0,0.0,-2.0
SALE_46_2024,2024-11-19,uva_udapussellawa,Uva / Uda Pussellawa,6.87,81.06,Sale of 19 & 20 November 2024.pdf,0,unknown,1,0,1,0,bright|showers,"Uva/Udapussellawa Regions
Bright weather and occasional evening showers were reported
in the Uva and Uda Pussellawa regions throughout the week.
According to the Department of Meteorology, showers are
expected in the Uva Region in the week ahead.",24.19,25.2,23.1,17.06,18.0,16.5,20.14,20.6,19.5,56.6,19.4,56.6,19.4,7.99,10.7,5.1,225751.81,40916.09,21.77,3.84,99.43,100.0,99.0,74.0,79.0,69.0,2024-11-12,2024-11-18,56.0,62.6,,56.0,62.6,,19.87,20.41,,169855.57,219815.16,,100.0,100.0,,-2.0,-2.0,0.0
SALE_46_2025,2025-11-25,uva_udapussellawa,Uva / Uda Pussellawa,6.87,81.06,Sale of 25 & 26 November 2025.pdf,-2,unknown,1,1,1,0,sunny|showers|misty|mist,"Uva/Udapussellawa Regions
Sunny weather and occasional showers were reported in the Uva
and Uda Pussellawa regions throughout the week. The
Department of Meteorology expects misty conditions in both
regions in the week ahead.",23.5,24.8,21.1,17.06,18.1,15.1,19.64,20.4,19.3,136.7,56.1,136.7,56.1,8.54,9.4,7.8,163990.3,40707.4,17.94,3.72,100.0,100.0,100.0,76.86,91.0,66.0,2025-11-18,2025-11-24,56.6,56.0,62.6,56.6,56.0,62.6,20.14,19.87,20.41,225751.81,169855.57,219815.16,100.0,100.0,100.0,0.0,-2.0,-2.0
