sale_id,sale_number,sale_year,sale_month,private_sales_weekly_2026,private_sales_weekly_2025,private_sales_todate_2026,private_sales_todate_2025,public_auction_weekly_2026,public_auction_weekly_2025,public_auction_todate_2026,public_auction_todate_2025,forward_contracts_weekly_2026,forward_contracts_weekly_2025,forward_contracts_todate_2026,forward_contracts_todate_2025,total_sold_weekly_2026,total_sold_weekly_2025,total_sold_todate_2026,total_sold_todate_2025,fx_usd_2026,fx_usd_2025,fx_usd_2024,fx_gbp_2026,fx_gbp_2025,fx_gbp_2024,fx_eur_2026,fx_eur_2025,fx_eur_2024,fx_jpy_2026,fx_jpy_2025,fx_jpy_2024
SALE_2024_21,21,2024.0,May,98623.0,142015.0,2326700.0,2096027.0,5738117.0,5794171.0,93419781.0,94113520.0,61280.0,58860.0,650220.0,1249928.0,5898020.0,5995046.0,96396701.0,97459475.0,296.83,290.67,355.72,377.09,358.17,434.07,320.22,309.96,371.1,1.87,2.06,2.61
SALE_2025_42,42,2025.0,October,175713.0,169824.0,8679685.0,5370303.0,4580311.0,4557139.0,202142734.0,196324269.0,53910.0,69850.0,2033339.0,2035736.0,4809934.0,4796813.0,212855758.0,203730308.0,300.48,288.65,320.81,399.95,373.68,392.2,348.87,310.75,341.06,1.96,1.9,2.13
SALE_2024_17,17,2024.0,April,106849.0,90951.0,1891441.0,1618824.0,4128204.0,4648804.0,73580334.0,72091104.0,39600.0,45600.0,504125.0,1037088.0,4274653.0,4785355.0,75975900.0,74747016.0,291.52,313.73,347.05,363.69,391.64,435.72,310.93,343.81,369.68,1.82,2.27,2.67
SALE_2025_29,29,2025.0,July,215665.0,173444.0,6177776.0,3408417.0,5107980.0,4768207.0,142508144.0,133249986.0,24000.0,66010.0,1503831.0,1016010.0,5347645.0,5007661.0,150189751.0,137674413.0,298.18,298.89,323.03,396.74,384.75,413.53,343.99,323.78,356.33,1.99,1.88,2.27
SALE_2024_43,43,2024.0,October,121576.0,115111.0,5491879.0,4290799.0,4728590.0,4312229.0,201052719.0,201180092.0,49550.0,13500.0,2085286.0,2043408.0,4899716.0,4440840.0,208629884.0,207514299.0,289.06,322.17,360.55,374.51,390.08,412.36,311.2,339.94,354.56,1.87,2.14,2.41
SALE_2025_38,38,2025.0,September,,,,,,,,,,,,,,,,,298.76,299.71,318.73,400.06,398.63,389.17,348.99,331.33,337.85,1.99,2.07,2.13
SALE_2024_48,48,2024.0,December,142517.0,162744.0,6133159.0,4886235.0,4262590.0,4645055.0,224653960.0,224370533.0,,,,,4463707.0,4807799.0,233166875.0,231378676.0,286.19,322.68,361.3,360.91,405.36,442.95,298.63,346.81,379.19,1.9,2.18,2.66
SALE_2025_21,21,2025.0,June,250979.0,98623.0,4569202.0,2326700.0,5698830.0,5738117.0,99083108.0,93420131.0,51040.0,61280.0,1200911.0,650220.0,6000849.0,5898020.0,104853221.0,96397051.0,295.37,296.83,290.67,398.0,377.09,358.17,335.68,320.22,309.96,2.05,1.87,2.06
SALE_2026_09,9,2026.0,March,374534.0,216701.0,2101103.0,1746988.0,4670360.0,4764328.0,38259906.0,39973852.0,72960.0,73620.0,336560.0,551516.0,5117854.0,5054649.0,40697569.0,42272356.0,305.7,290.99,306.06,408.78,367.9,386.49,356.46,303.26,330.31,1.93,1.94,2.02
SALE_2025_43,43,2025.0,November,219397.0,121576.0,8899082.0,5491879.0,4324525.0,4729567.0,206466809.0,201053836.0,31920.0,49550.0,2065259.0,2085286.0,4575842.0,4900693.0,217431150.0,208631001.0,300.7,289.06,322.17,393.82,374.51,390.08,345.43,311.2,339.94,1.94,1.87,2.14
SALE_2024_35,35,2024.0,September,89524.0,133293.0,4276319.0,3801663.0,4754930.0,4382210.0,163068336.0,168040550.0,73980.0,22940.0,1507230.0,1974008.0,4918434.0,4538443.0,168851885.0,173816221.0,294.48,314.87,358.05,384.5,396.18,412.22,323.87,338.13,353.96,2.01,2.13,2.53
SALE_2024_05,5,2024.0,January,105708.0,67632.0,433865.0,384993.0,5937800.0,5654712.0,19712452.0,19366036.0,20000.0,72760.0,80000.0,260088.0,6063508.0,5795104.0,20226317.0,20011117.0,312.81,360.45,198.5,396.19,444.63,265.53,337.22,389.55,222.65,2.11,2.75,1.71
SALE_2024_30,30,2024.0,July,145855.0,85268.0,3727717.0,2918428.0,4920948.0,5025762.0,138173859.0,143029985.0,65400.0,70920.0,1147420.0,1789008.0,5132203.0,5181950.0,143048996.0,147737421.0,298.09,323.96,357.22,381.61,413.79,432.79,320.62,354.13,361.98,1.92,2.27,2.66
SALE_2023_43,43,2023.0,October,115111.0,51700.0,4290799.0,3482348.0,4312245.0,4477701.0,201181625.0,202447082.0,13500.0,35300.0,2043408.0,1573180.0,4440856.0,4564701.0,207515832.0,207502610.0,322.17,360.55,198.5,390.08,412.36,270.12,339.94,354.56,228.49,2.14,2.41,1.72
SALE_2025_30,30,2025.0,August,168037.0,145855.0,6345813.0,3727717.0,4879401.0,4920448.0,147388095.0,138170434.0,27400.0,65400.0,1531231.0,1147420.0,5074838.0,5131703.0,155265139.0,143045571.0,297.43,298.09,323.96,393.64,381.61,413.79,342.66,320.62,354.13,2.0,1.92,2.27
SALE_2024_01,1,2024.0,January,229866.0,47828.0,5387348.0,3992235.0,4500368.0,4558637.0,237390759.0,237065036.0,60000.0,43100.0,2271908.0,1912860.0,4790234.0,4649565.0,245050015.0,242970131.0,317.76,361.19,198.5,400.89,437.51,261.22,345.56,380.07,222.6,2.2,2.63,1.73
