sale_id,auction_date,region,region_label,lat,lon,pdf_source,text_condition_score,text_crop_change,text_has_rain,text_has_mist,text_has_bright,text_has_thunder,text_keywords,text_raw_summary,temperature_2m_max_mean,temperature_2m_max_max,temperature_2m_max_min,temperature_2m_min_mean,temperature_2m_min_max,temperature_2m_min_min,temperature_2m_mean_mean,temperature_2m_mean_max,temperature_2m_mean_min,precipitation_sum_total,precipitation_sum_max_day,rain_sum_total,rain_sum_max_day,windspeed_10m_max_mean,windspeed_10m_max_max,windspeed_10m_max_min,sunshine_duration_total,sunshine_duration_max_day,et0_fao_evapotranspiration_total,et0_fao_evapotranspiration_max_day,relative_humidity_2m_max_mean,relative_humidity_2m_max_max,relative_humidity_2m_max_min,relative_humidity_2m_min_mean,relative_humidity_2m_min_max,relative_humidity_2m_min_min,fetch_start,fetch_end,precipitation_sum_total_lag1,sunshine_duration_total_lag1,temperature_2m_mean_mean_lag1,precipitation_sum_total_lag2,sunshine_duration_total_lag2,temperature_2m_mean_mean_lag2,precipitation_sum_total_lag3,sunshine_duration_total_lag3,temperature_2m_mean_mean_lag3
SALE_2024_17,2024-04-29,nuwara_eliya,Nuwara Eliya,6.9497,80.7891,Sale of 29 & 30 April 2024.pdf,-4,increase,1,1,1,0,sunny|showers|misty|mist|heavy,"Nuwara Eliya Regions
Sunny mornings were reported in the Western and Nuwara Eliya
regions throughout the week. The Department of Meteorology
All planting districts reported an
expects misty mornings in the Nuwara Eliya Region and heavy
increase in the crop intake.
showers in the Western Region in the week ahead.",22.7,23.2,22.3,13.91,14.9,12.2,18.27,18.7,17.8,5.9,2.5,5.9,2.5,13.04,14.4,11.6,288021.88,43745.48,31.77,4.94,97.0,100,91,52.57,72,37,2024-04-22,2024-04-28,6.5,276553.96,17.46,38.6,248556.55,16.86,10.8,288349.69,18.11
SALE_2024_18,2024-05-07,nuwara_eliya,Nuwara Eliya,6.9497,80.7891,Sale of 7 & 8 May 2024.pdf,2,unknown,0,0,1,0,bright|sunny,"Nuwara Eliya Regions
The Nuwara Eliya Region reported bright weather, whilst the
Western Region reported sunny morning and sporadic evening
The",24.11,25.0,22.6,14.46,15.2,13.2,19.16,20.1,18.3,5.5,2.3,5.5,2.3,13.06,15.6,9.2,297434.04,43707.27,32.81,5.03,97.71,100,93,53.29,68,44,2024-04-30,2024-05-06,9.9,283772.83,18.36,3.7,297261.29,17.63,41.0,228713.85,16.71
SALE_2024_19,2024-05-14,nuwara_eliya,Nuwara Eliya,6.9497,80.7891,Sale of 14 & 15 May 2024.pdf,0,unknown,1,0,1,0,sunny|showers,"Nuwara Eliya Regions
Sunny mornings and evening showers were reported in the Western The Western, Nuwara Eliya,",22.1,24.5,20.9,14.56,15.7,13.6,17.9,18.8,17.5,66.4,24.7,66.4,24.7,9.51,13.5,5.7,213824.21,42848.46,23.31,4.6,98.71,100,97,67.14,79,49,2024-05-07,2024-05-13,5.5,297434.04,19.16,9.9,283772.83,18.36,3.7,297261.29,17.63
SALE_2024_20,2024-05-20,nuwara_eliya,Nuwara Eliya,6.9497,80.7891,Sale of 20 & 21 May 2024.pdf,1,unknown,0,0,1,0,bright,"Nuwara Eliya Regions
The Nuwara Eliya Region reported bright mornings and evening The Western, Nuwara Eliya,",20.77,21.7,19.9,14.53,15.2,13.7,17.5,18.1,16.9,47.9,12.0,47.9,12.0,9.49,16.9,5.8,149572.51,29822.9,19.06,3.42,99.29,100,98,75.14,82,70,2024-05-13,2024-05-19,59.3,227708.58,18.09,9.5,292592.79,19.06,5.9,288021.88,18.27
SALE_2024_21,2024-05-28,nuwara_eliya,Nuwara Eliya,6.9497,80.7891,Sale of 28 & 29 May 2024.pdf,-5,decrease,1,0,0,0,showers|rain|rainfall|heavy,"Nuwara Eliya Regions
Rain was reported in the Western and Nuwara Eliya regions
throughout the week. Heavy showers and strong winds are
The Western, Nuwara Eliya and Low
expected in the Western Region, whilst heavy rainfall is
Grown regions reported a decrease in
expected in the Nuwara Eliya Region in the week ahead
the crop intake, whilst the",19.0,19.8,18.4,15.57,16.6,14.5,17.07,17.4,16.3,153.0,38.8,153.0,38.8,28.56,34.8,24.3,110366.1,22024.35,13.16,2.28,98.0,100,97,85.86,92,82,2024-05-21,2024-05-27,67.3,119749.61,17.24,66.4,213824.21,17.9,5.5,297434.04,19.16
SALE_2024_22,2024-06-04,nuwara_eliya,Nuwara Eliya,6.9497,80.7891,Sale of 4 & 5 June 2024.pdf,-1,unknown,1,0,0,0,showers,"Nuwara Eliya Regions
The Western & Nuwara Eliya regions reported showers The Western,",20.9,22.9,19.0,15.44,16.1,14.9,17.8,18.9,17.0,62.2,33.0,62.2,33.0,18.84,29.0,9.4,199910.71,40612.46,20.26,3.78,98.86,100,98,77.29,86,62,2024-05-28,2024-06-03,153.0,110366.1,17.07,67.3,119749.61,17.24,66.4,213824.21,17.9
SALE_2024_23,2024-06-11,nuwara_eliya,Nuwara Eliya,6.9497,80.7891,Sale of 11 & 12 June 2024.pdf,-1,unknown,1,0,0,0,showers,"Nuwara Eliya Regions
Gloomy weather and sporadic showers were reported in the The Nuwara Eliya,",21.56,22.1,20.5,14.29,15.5,12.4,17.57,18.2,16.8,9.0,2.5,9.0,2.5,11.57,21.6,6.4,255104.57,38881.33,23.68,3.84,99.57,100,99,70.14,75,67,2024-06-04,2024-06-10,62.2,199910.71,17.8,153.0,110366.1,17.07,67.3,119749.61,17.24
SALE_2024_24,2024-06-18,nuwara_eliya,Nuwara Eliya,6.9497,80.7891,Sale of 18 & 19 June 2024.pdf,1,maintained,1,0,1,0,bright|clear|showers,"Nuwara Eliya Regions
The Nuwara Eliya Region reported bright weather, whilst clear The Western, Nuwara Eliya and Low
mornings and sporadic evening showers were reported in the Grown regions maintained the",21.13,21.9,20.4,13.81,14.9,13.0,17.03,17.5,16.6,4.1,2.1,4.1,2.1,16.63,19.7,10.8,279738.57,44080.51,25.65,3.92,98.14,99,97,69.57,73,65,2024-06-11,2024-06-17,9.0,255104.57,17.57,62.2,199910.71,17.8,153.0,110366.1,17.07
SALE_2024_25,2024-06-25,nuwara_eliya,Nuwara Eliya,6.9497,80.7891,Sale of 25 & 26 June 2024.pdf,-1,unknown,1,0,0,0,rain,"Nuwara Eliya Regions
Rain was reported in the Nuwara Eliya and Western regions
throughout the week. According to the Department of Meteorology,
The Western,",19.56,20.9,17.6,14.77,15.8,13.8,16.54,17.1,16.0,43.2,13.9,43.2,13.9,21.04,28.6,13.8,190229.05,41870.54,17.48,3.39,98.86,100,97,76.0,83,67,2024-06-18,2024-06-24,4.1,279738.57,17.03,9.0,255104.57,17.57,62.2,199910.71,17.8
SALE_2024_26,2024-07-02,nuwara_eliya,Nuwara Eliya,6.9497,80.7891,Sale of 2 & 3 July 2024.pdf,1,unknown,0,0,1,0,sunny,"Nuwara Eliya Regions
The Nuwara Eliya Region reported sunny weather, whilst the The",19.59,21.6,16.7,13.5,15.3,12.1,16.36,17.1,15.5,34.1,17.9,34.1,17.9,19.21,32.1,8.0,198929.76,42111.03,19.93,4.01,98.86,100,96,76.14,91,64,2024-06-25,2024-07-01,43.2,190229.05,16.54,4.1,279738.57,17.03,9.0,255104.57,17.57
