catalogue,model,feature_set,fold,rmse,mae,mape,r2,n_test
Off-Grade,LightGBM,No lagged weather,3,107.0324927309171,82.12022690043062,9.33625540003499,0.24346217432781259,352
Off-Grade,LightGBM,No lagged weather,4,96.05119925405067,77.38725550216542,9.729186257141075,0.5157327006677255,352
Off-Grade,LightGBM,No lagged weather,5,121.84838950452679,96.20446257991193,13.577932821479502,0.4639044471002024,352
Off-Grade,LightGBM,No explicit weather,1,110.31222534701314,83.23729829825406,9.896672303573407,0.48736906224439736,352
Off-Grade,LightGBM,No explicit weather,2,78.73604634940874,59.1705506697042,6.974907148512501,0.6534212198049167,352
Off-Grade,LightGBM,No explicit weather,3,106.9186036259466,82.9169144019807,9.491664920436609,0.24507132259937492,352
Off-Grade,LightGBM,No explicit weather,4,98.60200168456336,78.68438744647837,9.886633142302587,0.4896700890381046,352
Off-Grade,LightGBM,No explicit weather,5,125.19769819584194,97.63456184355906,13.848949126682372,0.43402753049153886,352
Dust,XGBoost,Full features,1,180.42752365248447,123.34280251796226,11.052375167809206,0.07941169300122597,361
Dust,XGBoost,Full features,2,66.09277850155775,49.4830187007661,4.989875367477053,0.859569090593477,361
Dust,XGBoost,Full features,3,103.61350010023423,72.37978221438928,7.8019284887563805,0.7017626583954146,361
Dust,XGBoost,Full features,4,88.01439438167021,66.01905294402485,6.4645158549918955,0.7817733726340792,361
Dust,XGBoost,Full features,5,102.5214778639253,70.56269122094659,6.973491802807091,0.7390001911747929,361
Dust,XGBoost,No lagged weather,1,189.61909579990214,121.67084940648806,10.71259558317222,-0.016773034476716298,361
Dust,XGBoost,No lagged weather,2,69.50782741872396,50.33062828676852,5.032081895106465,0.8446818828820479,361
Dust,XGBoost,No lagged weather,3,107.56938309844206,73.82897239114439,8.006234588295696,0.6785549914443416,361
Dust,XGBoost,No lagged weather,4,88.73225718087551,65.33616557874177,6.3250881317333185,0.7781990563984233,361
Dust,XGBoost,No lagged weather,5,106.23236278005136,73.8930153463686,7.316472194707235,0.7197638516600624,361
Dust,XGBoost,No explicit weather,1,186.40756425774714,120.15002847180142,10.579513434407096,0.01737696539049094,361
Dust,XGBoost,No explicit weather,2,62.25498132289422,47.664948946881495,4.9298090628159486,0.8754043433919267,361
Dust,XGBoost,No explicit weather,3,107.96806327030075,74.46778679422394,8.150435055254798,0.6761678579838962,361
Dust,XGBoost,No explicit weather,4,85.74516843295329,63.68963555417893,6.196908244142109,0.7928811402959428,361
Dust,XGBoost,No explicit weather,5,99.14905453416215,68.36728454758916,6.832968355165338,0.7558888438033493,361
