Segment,Fold,Model,RMSE,MAE,MAPE,R2,n_train,n_test
Off-Grade,1,LightGBM,181.59567851379694,144.09024081317523,22.34037846900764,-0.08143978039605626,84,83
Off-Grade,1,Gradient Boosting,205.2202863436937,139.8077414204764,23.295549004988704,-0.3811215472099725,84,83
Off-Grade,1,Random Forest,187.61748443360523,136.21144578313252,22.223249878403024,-0.154351149351466,84,83
Off-Grade,2,XGBoost,159.37238426532312,112.04708310782192,14.825351521696154,0.19627525798178236,167,83
Off-Grade,2,LightGBM,160.9882195589242,114.8701885003768,14.675553090274601,0.17989512619230807,167,83
Off-Grade,2,Gradient Boosting,178.91016352134483,124.46603151286641,16.47385285153688,-0.012864205474909962,167,83
Off-Grade,2,Random Forest,153.95427317741138,109.360843373494,14.340890023410283,0.24999407609351088,167,83
Off-Grade,3,XGBoost,117.0244421872843,87.96860881024097,11.885754762169443,0.4893744215749173,250,83
Off-Grade,3,LightGBM,141.69622426721287,108.85007755190296,14.087768089957775,0.25137217959431524,250,83
Off-Grade,3,Gradient Boosting,132.07881900245374,107.60728666761938,14.144236091405608,0.34954724059140496,250,83
Off-Grade,3,Random Forest,117.27966441548294,90.8012048192771,12.098380892129073,0.4871447145463279,250,83
Off-Grade,4,XGBoost,132.35495849797553,107.33327989693147,14.086357626908441,0.37833585533589154,333,83
Off-Grade,4,LightGBM,142.55198935200247,112.2559841814004,14.844807318359605,0.2788560706374702,333,83
Off-Grade,4,Gradient Boosting,146.95448856189594,108.57339636449029,13.901283146417006,0.2336254070204533,333,83
Off-Grade,4,Random Forest,134.15966240541007,108.71827309236946,14.383164746957334,0.3612670790977255,333,83
Off-Grade,5,XGBoost,135.8298124340429,97.21596223762236,15.10563366447637,0.42587101226027424,416,83
Off-Grade,5,LightGBM,140.85816370982462,105.492797514371,15.738459785200053,0.38257626894826346,416,83
Off-Grade,5,Gradient Boosting,145.4141809598315,109.19902711753845,16.707081979101133,0.34198954218680333,416,83
Off-Grade,5,Random Forest,135.9769391425656,102.09718875502007,15.574524937029077,0.4246265806553936,416,83
Dust,1,XGBoost,177.11149709444985,127.31090677195581,14.075964820326641,0.06194781541997174,88,87
Dust,1,LightGBM,174.80646906307953,138.23244099265776,15.324889443439007,0.08620560034975167,88,87
Dust,1,Gradient Boosting,209.95787787228167,147.4385109215122,16.413402230645943,-0.31825018234506386,88,87
Dust,1,Random Forest,168.14641545585008,125.18429118773946,13.760804572968235,0.15450952775006666,88,87
Dust,2,XGBoost,161.97246990961693,113.12126071973779,13.518982757806224,0.40014301183983103,175,87
Dust,2,LightGBM,155.48725817893592,106.7485611136072,12.972890422498857,0.4472166877058046,175,87
Dust,2,Gradient Boosting,156.57804647488942,104.94583208626763,12.592997685392678,0.4394336117458191,175,87
Dust,2,Random Forest,156.70675383848376,105.29233716475093,12.560816506785455,0.4385116603372653,175,87
Dust,3,XGBoost,174.22277617260818,117.18364075408584,15.140593519342033,0.4264189785532,262,87
Dust,3,LightGBM,182.18851282281565,125.07617383768365,15.894784733805542,0.3727698947900604,262,87
Dust,3,Gradient Boosting,178.65447209732073,125.12640451311864,15.559106540653394,0.3968675468866998,262,87
Dust,3,Random Forest,166.90954864763535,111.90019157088123,14.15853984687598,0.47356194129021667,262,87
Dust,4,XGBoost,161.29121284704522,113.12496211610991,13.833369311840077,0.47532987966260587,349,87
Dust,4,LightGBM,168.9488760998313,121.93270971756102,14.999637279403649,0.4243274373135282,349,87
Dust,4,Gradient Boosting,183.53052333084585,128.71277252558332,15.757407055001671,0.3206688600154529,349,87
Dust,4,Random Forest,165.26910399017865,111.22547892720308,13.460157425865669,0.44913109050410116,349,87
Dust,5,XGBoost,117.98780279074165,86.99921987248563,9.620065056619428,0.6533680019833197,436,87
Dust,5,LightGBM,128.87117201369477,95.77990887647483,10.526175621192415,0.5864709919580673,436,87
Dust,5,Gradient Boosting,123.12314350565518,98.10457689477454,10.664414409356612,0.6225374987328598,436,87
Dust,5,Random Forest,132.96266503700207,95.98467432950191,10.617123562085478,0.5597961405821372,436,87
