params,mean_test_score,std_test_score,rank_test_score,Segment,Model,mean_test_RMSE
"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",-229.2599222950484,40.104317980646194,18,high_grown,Random Forest,229.2599222950484
"{'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}",-227.26566469831832,42.60053572644797,5,high_grown,Random Forest,227.26566469831832
"{'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 400}",-227.21984895770538,42.06522458500326,3,high_grown,Random Forest,227.21984895770538
"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",-228.76760341683203,42.38749857775402,11,high_grown,Random Forest,228.76760341683203
"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 400}",-228.88145418988515,42.310001396828106,14,high_grown,Random Forest,228.88145418988515
"{'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",-227.67946272293722,39.15880451506092,7,high_grown,Random Forest,227.67946272293722
"{'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",-228.22836368984503,39.939341598162436,8,high_grown,Random Forest,228.22836368984503
"{'model__max_depth': 8, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}",-227.1957270965062,42.30909769867309,1,high_grown,Random Forest,227.1957270965062
"{'model__max_depth': 8, 'model__min_samples_leaf': 3, 'model__n_estimators': 400}",-227.27514043397127,41.7420210700705,6,high_grown,Random Forest,227.27514043397127
"{'model__max_depth': 8, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",-228.82094449412457,42.40456224480982,13,high_grown,Random Forest,228.82094449412457
"{'model__max_depth': 8, 'model__min_samples_leaf': 5, 'model__n_estimators': 400}",-228.89811486018712,42.344471199125145,16,high_grown,Random Forest,228.89811486018712
"{'model__max_depth': 16, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",-228.35615270335902,39.85994344018377,9,high_grown,Random Forest,228.35615270335902
"{'model__max_depth': 16, 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",-229.23691366076247,40.14865194757602,17,high_grown,Random Forest,229.23691366076247
